Reference, Value, Footprint, Datasheet, Display
"AFF4","LTS-6960HR","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.octopart.com/LTS-6960HR-Lite-On-datasheet-11803242.pdf", Display
"D4","LED","LED_THT:LED_D3.0mm","~", Display
"D3","LED","LED_THT:LED_D3.0mm","~", Display
"D2","LED","LED_THT:LED_D3.0mm","~", Display
"AFF5","LTS-6960HR","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.octopart.com/LTS-6960HR-Lite-On-datasheet-11803242.pdf", Display
"AFF3","LTS-6960HR","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.octopart.com/LTS-6960HR-Lite-On-datasheet-11803242.pdf", Display
"AFF2","LTS-6960HR","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.octopart.com/LTS-6960HR-Lite-On-datasheet-11803242.pdf", Display
"AFF1","LTS-6960HR","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.octopart.com/LTS-6960HR-Lite-On-datasheet-11803242.pdf", Display
"C4","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", Display
"C2","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", Display
"C3","0.01u","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~", Display
"C1","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", Display
"R1","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R8","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R10","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"U3","ULN2803A","Package_DIP:DIP-18_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2803a.pdf", Display
"U1","TBD62783A","Package_DIP:DIP-18_W7.62mm","http://toshiba.semicon-storage.com/info/docget.jsp?did=30523&prodName=TBD62783APG", Display
"BAR1","HDSP-4830_2","Display:HDSP-4830","https://docs.broadcom.com/docs/AV02-1798EN", Display
"D1","LED","LED_THT:LED_D3.0mm","~", Display
"J1","Conn_PIC_ICSP_ICD","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","http://ww1.microchip.com/downloads/en/devicedoc/30277d.pdf", Display
"R9","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"U2","PIC16F18854-SO","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16(L)F18854%20Data%20Sheet_DS40001826C.pdf", Display
"R7","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R6","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R5","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R4","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R3","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"R2","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Display
"J2","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~", Display
