Reference, Value, Footprint, Datasheet, peripheral
"J9","Conn_02x08_Odd_Even","","~", peripheral
"MK1","Piezo","","~", peripheral
"MK2","Piezo","","~", peripheral
"MK4","Piezo","","~", peripheral
"MK6","Piezo","","~", peripheral
"MK8","Piezo","","~", peripheral
"MK10","Piezo","","~", peripheral
"MK11","Piezo","","~", peripheral
"MK12","Piezo","","~", peripheral
"J19","Conn_02x08_Odd_Even","","~", peripheral
"MK15","Piezo","","~", peripheral
"MK17","Piezo","","~", peripheral
"MK19","Piezo","","~", peripheral
"MK21","Piezo","","~", peripheral
"MK23","Piezo","","~", peripheral
"MK25","Piezo","","~", peripheral
"MK26","Piezo","","~", peripheral
"MK27","Piezo","","~", peripheral
"J32","Conn_02x08_Odd_Even","","~", peripheral
"MK31","Piezo","","~", peripheral
"MK33","Piezo","","~", peripheral
"MK35","Piezo","","~", peripheral
"MK37","Piezo","","~", peripheral
"MK39","Piezo","","~", peripheral
"MK41","Piezo","","~", peripheral
"MK42","Piezo","","~", peripheral
"MK43","Piezo","","~", peripheral
"J40","Conn_02x08_Odd_Even","","~", peripheral
"MK47","Piezo","","~", peripheral
"MK49","Piezo","","~", peripheral
"MK51","Piezo","","~", peripheral
"MK53","Piezo","","~", peripheral
"MK54","Piezo","","~", peripheral
"MK55","Piezo","","~", peripheral
"MK56","Piezo","","~", peripheral
"MK57","Piezo","","~", peripheral
"J46","Conn_02x08_Odd_Even","","~", peripheral
"MK58","Piezo","","~", peripheral
"MK59","Piezo","","~", peripheral
"MK60","Piezo","","~", peripheral
"MK61","Piezo","","~", peripheral
"J44","DB15_Female",""," ~", peripheral
"J2","Conn_01x05_Female","","~", peripheral
"J7","Conn_01x02_Female","","~", peripheral
"J15","Conn_01x05_Female","","~", peripheral
"J18","Conn_01x02_Female","","~", peripheral
"J27","Conn_01x05_Female","","~", peripheral
"J31","Conn_01x02_Female","","~", peripheral
"J34","Conn_01x05_Female","","~", peripheral
"J38","Conn_01x02_Female","","~", peripheral
"J43","Conn_01x05_Female","","~", peripheral
"J45","Conn_01x02_Female","","~", peripheral
"J1","Conn_01x05_Female","","~", peripheral
"J13","Conn_01x05_Female","","~", peripheral
"J16","Conn_01x02_Female","","~", peripheral
"J25","Conn_01x05_Female","","~", peripheral
"J30","Conn_01x02_Female","","~", peripheral
"J33","Conn_01x05_Female","","~", peripheral
"J36","Conn_01x02_Female","","~", peripheral
"J4","Conn_01x02_Female","","~", peripheral
"J12","AudioJack2","","~", peripheral
"RV4","50KB","","~", peripheral
"SW1","SW_Panel","","~", peripheral
"J26","DIN-5_180degree","","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf", peripheral
"J22","DIN-5_180degree","","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf", peripheral
"J28","Jack-DC","","~", peripheral
"J3","Conn_01x05_Female","","~", peripheral
"J8","Conn_01x02_Female","","~", peripheral
"J14","Conn_02x09_Odd_Even","","~", peripheral
"J37","Conn_02x08_Odd_Even","","~", peripheral
"MK28","Piezo","","~", peripheral
"MK29","Piezo","","~", peripheral
"MK40","Piezo","","~", peripheral
"MK38","Piezo","","~", peripheral
"MK36","Piezo","","~", peripheral
"MK34","Piezo","","~", peripheral
"MK32","Piezo","","~", peripheral
"MK30","Piezo","","~", peripheral
"J29","Conn_02x08_Odd_Even","","~", peripheral
"MK24","Piezo","","~", peripheral
"MK22","Piezo","","~", peripheral
"MK20","Piezo","","~", peripheral
"MK18","Piezo","","~", peripheral
"MK16","Piezo","","~", peripheral
"MK14","Piezo","","~", peripheral
"MK13","Piezo","","~", peripheral
"J17","Conn_02x08_Odd_Even","","~", peripheral
"MK9","Piezo","","~", peripheral
"MK7","Piezo","","~", peripheral
"MK5","Piezo","","~", peripheral
"MK3","Piezo","","~", peripheral
"J5","Conn_02x08_Odd_Even","","~", peripheral
"MK52","Piezo","","~", peripheral
"MK50","Piezo","","~", peripheral
"MK48","Piezo","","~", peripheral
"MK46","Piezo","","~", peripheral
"MK45","Piezo","","~", peripheral
"MK44","Piezo","","~", peripheral
"RV5","50kA","","~", peripheral
"J11","AudioJack2","","~", peripheral
"J10","AudioJack3_SwitchTR","","~", peripheral
"J6","AudioJack3_SwitchTR","","~", peripheral
"RV3","50KB","","~", peripheral
"RV2","50KB","","~", peripheral
"RV1","50KB","","~", peripheral
"J20","Conn_01x04_Female","","~", peripheral
"J23","Conn_01x04_Female","","~", peripheral
"J39","Conn_02x09_Odd_Even","","~", peripheral
"SW2","SW_Panel","","~", peripheral
"SW3","SW_Panel","","~", peripheral
"SW4","SW_Panel","","~", peripheral
"SW5","SW_Panel","","~", peripheral
"SW6","SW_Panel","","~", peripheral
"SW7","SW_Panel","","~", peripheral
"SW8","SW_Panel","","~", peripheral
"J35","Conn_01x05_Female","","~", peripheral
"J21","Conn_01x05_Female","","~", peripheral
"J24","Conn_01x02_Female","","~", peripheral
"J42","Conn_02x09_Odd_Even","","~", peripheral
"J41","DB15_Male",""," ~", peripheral
